MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,TABNAME,TABKEY,FNAME,CHNGIND,VALUE_OLD,VALUE_NEW
M1,BELEG,M1V396489P2820,17145,VBAK,M1V396489,LIFSK,U,ZA,nan
M1,BELEG,M1V396419P3,17152,VBAK,M1V396419,LIFSK,U,ZA,nan
M1,BELEG,M1V396445P3,17174,VBAK,M1V396445,LIFSK,U,ZA,nan
M1,BELEG,M1V396438P3,17182,VBAK,M1V396438,LIFSK,U,ZA,nan
M1,BELEG,M1V398647P3,17190,VBAK,M1V398647,LIFSK,U,ZA,nan
M1,BELEG,M1V1902P865,17208,VBAK,M1V1902,LIFSK,U,ZA,nan
M1,BELEG,M1V397649P4798,17252,VBAK,M1V397649,LIFSK,U,ZA,nan
M1,BELEG,M1V393121P3,17292,VBAK,M1V393121,LIFSK,U,ZA,nan
M1,BELEG,M1V393057P120,17305,VBAK,M1V393057,LIFSK,U,ZA,nan
M1,BELEG,M1V393207P12,17328,VBAK,M1V393207,LIFSK,U,ZA,nan
M1,BELEG,M1V392149P90,17349,VBAK,M1V392149,LIFSK,U,ZA,nan
M1,BELEG,M1V392055P3,17357,VBAK,M1V392055,LIFSK,U,ZA,nan
M1,BELEG,M1V395280P3,17382,VBAK,M1V395280,LIFSK,U,ZA,nan
M1,BELEG,M1V395277P12,17389,VBAK,M1V395277,LIFSK,U,ZA,nan
M1,BELEG,M1V394353P90,17430,VBAK,M1V394353,LIFSK,U,ZA,nan
M1,BELEG,M1V395366P51,17462,VBAK,M1V395366,LIFSK,U,ZA,nan
M1,BELEG,M1V395353P180,17485,VBAK,M1V395353,LIFSK,U,ZA,nan
M1,BELEG,M1V394169P36,17525,VBAK,M1V394169,LIFSK,U,ZA,nan
M1,BELEG,M1V394132P3,17543,VBAK,M1V394132,LIFSK,U,ZA,nan
M1,BELEG,M1V394328P1427,17550,VBAK,M1V394328,LIFSK,U,ZA,nan
M1,BELEG,M1V1103224P12,17586,VBAK,M1V1103224,LIFSK,U,ZA,nan
M1,BELEG,M1V1103729P12,17626,VBAK,M1V1103729,LIFSK,U,ZA,nan
M1,BELEG,M1V1103709P130,17633,VBAK,M1V1103709,LIFSK,U,ZA,nan
